Song,Artist,Title,MoodsStrSplit,SampleURL
MT0000004637,Charlie Poole,Bulldog Down in Sunny Tennessee,"Circular, Greasy, Messy",http://rovimusic.rovicorp.com/playback.mp3?c=loVS25PIM05eUdu24b4SN_3pqi0RS20pHqZddGAWQOA=&f=J
MT0000011357,Dismember,Reborn in Blasphemy,"Negative, Nervous, Jittery",http://rovimusic.rovicorp.com/playback.mp3?c=0W__Y3y7zb5ZuV2QGxUXvGjIb8Tr8vVfGLIuM5x_WSg=&f=I
MT0000011975,Curse of the Golden Vampire,Ultrasonic Meltdown,"Fierce, Harsh, Hostile, Menacing, Outrageous, Unsettling",http://rovimusic.rovicorp.com/playback.mp3?c=_huCubMvFMeRy_DQMPK8oDqpU4hxl5saPDaNIVORh-E=&f=J
MT0000040632,Gipsy Kings,Flamencos en el Aire,"Cathartic, Fiery, Sexy, Spicy",http://rovimusic.rovicorp.com/playback.mp3?c=GgKequUoOR3mIgcs-UXfh4apJnH0KBK7tayJ1L1z1aM=&f=J
MT0000044741,Little Walter,Last Night,"Greasy, Gritty, Gutsy, Lazy",http://rovimusic.rovicorp.com/playback.mp3?c=kd1KbnMm5tKdnT7sv69W6oapJnH0KBK7tayJ1L1z1aM=&f=J
MT0000054705,George Shearing,The Masquerade is Over,"Bright, Elegant, Joyous, Light, Precious, Refined, Relaxed, Rollicking",http://rovimusic.rovicorp.com/playback.mp3?c=ShwuCSayjCv2W00Erq6DlPKUU23ZQzDPVjJ3ONioHGo=&f=J
MT0000082187,The Beach Boys,Little Saint Nick,"Cheerful, Fun, Happy, Joyous, Light, Playful, Sweet, Whimsical",http://rovimusic.rovicorp.com/playback.mp3?c=u6AHNBILS2W-Ipy8mTJlnGjIb8Tr8vVfGLIuM5x_WSg=&f=J
MT0000088320,Concrete Blonde,I Call It Love,"Cynical, Sarcastic, Detached",http://rovimusic.rovicorp.com/playback.mp3?c=NSrmBWWUNJhi_tjL0az1Hs2KXJKuJLE7UG4BJXcyKZ4=&f=J
MT0000092267,De La Soul,All Good,"Bittersweet, Confident, Earnest, Melancholy, Poignant, Reflective, Relaxed, Romantic, Searching, Sentimental, Slick, Smooth, Sophisticated, Street-Smart, Stylish, Wistful, Yearning",http://rovimusic.rovicorp.com/playback.mp3?c=EKL-HWEY0dQA4tv2id8fBpjWf7KriH64XH0cLbjLrOY=&f=J
MT0000133200,Deftones,Rats!Rats!Rats!,"Angry, Angst-Ridden, Bitter, Crunchy, Harsh, Hostile, Malevolent, Menacing, Nihilistic, Ominous, Tense, Anxious, Volatile",http://rovimusic.rovicorp.com/playback.mp3?c=l-W93i5D1OxPJKkd4I96tvh0BJxFGWncDvRkmPV4knk=&f=J
